name,price,profit
Share-EKHC,20.22,23.58
Share-PSEN,10.73,34.65
Share-BXWL,11.08,28.8
Share-JEHD,20.22,16.62
Share-HAKK,14.67,1.78
Share-CQXK,42.48,19.54
Share-NFHZ,28.09,11.42
Share-VEOO,30.85,23.97
Share-YQTP,27.63,21.53
Share-APNK,33.9,26.71
Share-FCIM,25.84,32.99
Share-CWAN,21.78,5.52
Share-ZGNB,17.54,37.44
Share-WDYF,33.55,27.54
Share-BRCC,48.93,33.39
Share-OQKF,20.36,25.37
Share-NOPE,33.63,1.17
Share-ASGY,20.47,22.18
Share-HBSR,25.7,16.14
Share-CZIZ,39.47,32.75
Share-MLUC,32.69,28.29
Share-SGHI,30.02,2.93
Share-CBUV,19.3,21.75
Share-MOVJ,13.76,23.48
Share-HAJM,6.01,8.56
Share-IQQO,0.0,7.84
Share-OLMP,5.32,35.86
Share-AUGU,20.67,23.88
Share-DBFE,36.63,33.34
Share-JEZT,24.55,7.96
Share-GXSJ,19.93,12.79
Share-XREJ,21.24,4.51
Share-SALE,27.25,33.45
Share-YSKI,0.0,24.41
Share-MYXT,23.78,30.09
Share-WEOQ,4.82,13.53
Share-NHWA,29.18,39.77
Share-CYYC,0.42,5.88
Share-XINI,13.23,26.15
Share-JHWR,15.51,4.75
Share-HSOR,17.87,17.02
Share-DXOW,24.99,38.75
Share-UMIB,44.93,35.08
Share-GYWT,38.32,3.9
Share-RQJV,20.73,31.27
Share-MHUT,30.36,21.24
Share-FNZM,22.38,34.75
Share-KPYM,19.12,20.56
Share-IIUJ,41.83,7.17
Share-DDUF,36.49,11.67
Share-VGUF,28.44,12.75
Share-THNO,31.4,17.82
Share-YYEN,25.73,4.43
Share-RZCT,18.58,23.89
Share-QRVU,16.96,35.36
Share-VFGQ,16.36,23.61
Share-URAA,30.91,25.18
Share-EBAM,29.48,4.87
Share-EAAY,23.25,32.93
Share-XFNL,44.05,23.97
Share-UTUI,22.78,31.75
Share-AIRL,7.19,31.28
Share-AYBY,40.52,10.72
Share-PWDG,39.72,12.54
Share-UGTV,46.13,28.3
Share-GHIZ,28.0,39.89
Share-UBEA,46.85,4.92
Share-VNTG,30.54,25.47
Share-NDSG,24.04,10.44
Share-OYDA,20.5,10.85
Share-KXOH,1.5,32.19
Share-FAXV,29.03,32.58
Share-QZWX,20.16,24.26
Share-ABJM,21.17,38.29
Share-OQSQ,5.07,26.84
Share-APJH,26.51,38.5
Share-HUNV,0.0,31.98
Share-EJFE,19.11,18.07
Share-BGDY,2.46,16.15
Share-PJBK,45.42,28.75
Share-PAWY,21.86,32.65
Share-KEYI,40.4,31.64
Share-JUBL,29.67,2.33
Share-BECH,35.91,3.26
Share-WALV,29.53,27.89
Share-DRAB,0.0,15.1
Share-KMTG,23.21,39.97
Share-MKXO,26.44,19.97
Share-QFPY,45.3,7.61
Share-WZIF,20.04,5.6
Share-VSIP,42.36,13.16
Share-IFTU,37.65,13.98
Share-WMHE,25.47,18.35
Share-NMDR,22.27,32.97
Share-MXAF,21.23,11.2
Share-WVVQ,11.95,18.45
Share-XFUI,20.81,32.5
Share-KRLT,29.73,20.48
Share-BCJD,13.65,17.02
Share-GJTI,23.11,10.72
Share-BKDN,34.66,18.97
Share-ZSZF,26.57,19.68
Share-LDCO,28.36,13.65
Share-DBUJ,0.07,10.73
Share-VBIE,46.52,1.98
Share-CKEE,17.78,33.02
Share-ZECG,43.32,30.76
Share-PWWS,49.36,14.37
Share-LOBE,39.3,31.97
Share-HFXF,0.0,9.56
Share-NZHD,15.79,8.53
Share-LDVW,26.9,37.09
Share-PNHT,8.01,20.1
Share-YNRH,15.48,20.67
Share-CAEQ,36.56,39.17
Share-VRCA,37.94,15.52
Share-WSYK,24.52,25.99
Share-XKDC,27.34,3.05
Share-XUPB,16.58,21.26
Share-IZTA,16.98,12.84
Share-NFKM,42.83,16.48
Share-ONRM,7.48,17.87
Share-TSLL,31.42,7.71
Share-HXDE,33.15,22.02
Share-CUSU,2.66,32.49
Share-ZYBC,39.09,28.26
Share-KJRG,30.57,31.64
Share-RYQW,0.0,1.88
Share-JPLO,9.81,30.98
Share-PRLI,21.38,35.35
Share-PCSR,28.48,0.93
Share-ISXU,23.73,15.06
Share-IUVO,8.47,13.86
